,occupation
9292,
9330,0
9484,5
10024,13
10230,1
10254,7
10369,0
10385,1
10442,7
10594,23
10598,26
10601,8
10679,15
10733,
10801,
10827,0
10833,7
10935,7
10937,
10952,12
10965,
10973,0
10974,
11007,11
11032,
11058,6
11064,
11129,11
11178,0
11524,0
11875,
11883,0
11954,
12263,0
12456,
12636,7
12939,1
12983,12
14302,10
14356,11
14630,13
14765,1
15019,
15209,7
15819,0
16158,15
16163,7
16868,6
16963,
17001,14
17062,13
17116,0
17780,0
18058,16
18236,1
18500,
18812,
18940,0
19025,0
19038,0
19202,
20202,0
20274,-1
20318,15
20333,0
20521,4
20670,23
20713,
20887,6
21034,1
21273,13
21655,24
21676,
21768,7
21930,15
22231,-1
22493,0
22550,26
22670,6
22760,6
22946,10
22950,4
24808,26
24896,0
25145,23
25687,
25720,24
25771,13
25794,0
26018,7
26048,0
26133,1
26144,7
26154,4
26375,13
26819,
27103,15
27137,22
27256,7
27450,0
27494,19
27603,0
27695,0
27871,0
27918,13
27969,
28044,0
28211,7
28340,7
28461,
28535,
28627,-1
28755,0
28854,0
29107,0
29310,
29476,0
29991,22
30272,0
30278,0
30370,22
30414,0
30540,10
31237,15
31458,1
31483,22
31568,7
31651,7
31723,7
31830,7
31897,7
32232,6
34243,11
35537,0
38060,0
41445,9
43630,0
45663,14
48224,6
48622,0
48900,24
49106,13
49185,0
49247,7
49362,0
49616,1
49754,1
49945,
50083,1
50227,24
50337,0
50686,13
50710,9
51465,0
51809,2
52101,7
52503,
52816,
52873,0
52883,7
52969,1
53100,
53123,
1100,
1993,0
20644,
27469,26
28883,0
29586,
30814,
31887,0
31912,7
47254,1
52878,
52905,6
52953,
75,1
85,24
115,11
151,
173,21
178,15
248,1
320,7
398,6
488,0
925,
1017,15
1103,0
1150,22
1248,6
1253,21
1393,7
1516,1
1546,
1764,1
1832,15
1978,6
1987,12
2154,1
2161,22
2194,13
2226,1
2231,1
2271,6
2319,7
2380,0
2409,-1
2448,7
2468,6
2580,19
2612,7
2631,
2637,0
2639,0
2641,9
2646,
2649,0
2662,0
2671,7
2684,7
2701,11
2717,15
2719,
2721,0
2750,1
2752,10
2756,6
2758,22
2780,1
2782,
2784,0
2797,7
2798,1
2802,13
2808,0
2809,
2829,1
2833,24
2835,12
2836,
2840,7
2852,22
2857,0
2858,15
2861,23
2864,18
2870,
2874,0
2875,1
2883,13
2885,0
2892,7
2910,7
2913,0
2934,1
2939,7
2941,24
2948,-1
2966,
2971,12
2994,6
3003,
3009,-1
3019,1
3037,
3044,7
3046,7
3048,1
3051,0
3058,26
3060,
3073,7
3074,18
3078,13
3081,6
3086,7
3088,23
3097,24
3102,-1
3122,
3123,9
3136,14
3171,0
3185,10
3189,
3190,7
3191,
3198,8
3207,
3215,9
3217,7
3227,
3229,7
3231,13
3250,
3255,18
3258,0
3261,14
3265,22
3270,0
3272,
3276,13
3277,7
3282,0
3293,14
3305,7
3307,0
3308,0
3312,24
3320,0
3321,0
3322,4
3324,12
3331,7
3337,0
3342,8
3344,4
3347,0
3350,7
3351,7
3354,0
3355,
3357,
3360,1
3363,7
3374,13
3378,7
3390,0
3397,14
3398,15
3401,9
3407,
3414,12
3422,7
3423,0
3432,14
3433,1
3442,0
3443,
3444,15
3447,
3451,12
3454,-1
3457,2
3462,1
3467,7
3468,0
3473,7
3484,2
3495,7
3507,0
3510,
3516,12
3518,7
3525,-1
3532,
3541,7
3545,
3560,26
3567,26
3568,7
3571,15
3577,1
3579,15
3583,4
3595,7
3597,9
3609,20
3612,0
3616,19
3619,
3621,1
3633,26
3645,0
3653,6
3659,7
3660,26
3663,0
3667,13
3670,7
3671,14
3673,0
3679,7
3682,
3694,9
3696,7
3708,
3713,9
3719,10
3722,23
3723,
3728,7
3735,14
3739,6
3740,13
3745,0
3749,0
3762,1
3765,7
3768,-1
3778,26
3780,0
3788,6
3793,0
3800,
3805,-1
3809,-1
3811,7
3813,0
3815,7
3820,6
3824,26
3825,1
3830,0
3832,7
3837,1
3847,
3848,6
3922,26
3935,0
3956,0
3958,21
3981,
3984,0
4082,0
4088,
4093,6
4095,1
4112,0
4148,12
4149,
4154,4
4160,
4195,0
4196,7
4199,7
4200,9
4202,0
4221,0
4225,7
4226,7
4237,18
4240,9
4264,16
4266,19
4275,7
4279,12
4280,22
4286,
4288,-1
4289,23
4302,22
4308,13
4310,0
4330,0
4333,13
4340,0
4346,23
4350,15
4358,2
4364,24
4367,0
4370,7
4377,
4383,
4389,1
4397,
4400,0
4409,13
4417,2
4418,
4420,2
4422,1
4429,0
4431,-1
4435,19
4438,
4453,7
4466,17
4468,7
4478,-1
4479,
4484,1
4485,12
4505,11
4518,0
4519,-1
4521,0
4534,
4538,6
4559,
4568,12
4569,0
4581,6
4583,1
4586,13
4590,7
4596,1
4597,
4603,
4605,19
4628,
4650,7
4652,2
4658,7
4666,7
4682,0
4690,7
4694,18
4704,13
4718,-1
4739,6
4749,6
4752,
4754,21
4764,11
4773,
4777,1
4783,0
4787,
4792,26
4798,13
4799,1
4808,4
4830,
4835,1
4842,7
4846,4
4857,7
4895,0
4906,
4907,12
4912,13
4917,0
4945,7
4955,1
4956,15
4958,
4961,1
4970,
4979,23
4996,21
4997,0
4998,13
4999,7
5007,0
5011,0
5016,1
5020,0
5038,7
5039,7
5041,0
5043,0
5051,7
5053,9
5063,0
5069,13
5072,
5074,8
5084,-1
5092,0
5097,24
5105,7
5108,0
5109,1
5117,
5118,7
5120,7
5125,
5132,22
5135,15
5151,
5154,13
5156,22
5159,14
5163,20
5165,
5166,0
5177,2
5187,22
5221,1
5225,13
5240,7
5241,0
5243,7
5245,0
5258,9
5260,7
5279,7
5285,
5290,0
5293,0
5297,8
5308,6
5321,
5332,
5334,0
5337,0
5351,7
5353,
5361,0
5389,6
5398,9
5417,2
5426,0
5434,1
5461,24
5470,12
5472,
5477,7
5484,-1
5515,7
5522,9
5524,6
5527,
5569,19
5571,7
5573,
5631,7
5686,0
5691,8
5763,10
5778,23
5798,1
5844,1
5870,23
5896,14
5940,10
5959,7
5962,-1
5979,
5981,7
5997,
6007,7
6036,13
6041,
6072,
6085,
6090,2
6106,1
6137,7
6161,0
6162,
6190,7
6198,1
6229,7
6237,0
6261,7
6266,7
6284,7
6290,8
6329,0
6349,7
6404,2
6405,13
6459,0
6472,20
6475,-1
6481,6
6482,1
6510,
6532,13
6540,13
6552,12
6571,1
6583,
6586,0
6608,13
6636,19
6667,
6679,7
6708,7
6712,0
6720,13
6738,7
6816,6
6834,24
6855,15
6857,
6894,
6898,1
6901,
6903,0
6906,1
6937,6
6945,
6968,24
6971,13
6981,13
6989,13
7014,1
7024,
7033,24
7065,14
7074,7
7173,1
7175,
7181,13
7187,0
7191,0
7199,0
7254,
7273,26
7282,24
7318,7
7348,
7395,0
7421,22
7435,8
7439,13
7455,7
7484,
7536,
7565,13
7575,14
7593,7
7643,7
7698,0
7709,13
7722,
7725,13
7732,1
7740,0
7774,26
7777,
7778,
7783,0
7798,0
